Name,Service Games Won,Return Games Won
Sonay Kartal,50.0,30.4
Elena-Gabriela Ruse,54.9,34.4
Clara Burel,56.2,35.2
Louisa Chirico,44.7,22.0
Maddison Inglis,59.3,28.0
Barbora Palicova,40.0,40.0
Angelique Kerber,67.8,36.8
Elizabeth Mandlik,60.3,37.5
Chloe Paquet,49.6,27.4
Ashlyn Krueger,51.1,24.4
Dayana Yastremska,65.0,28.3
Eva Lys,50.0,39.0
Fernanda Contreras Gomez,45.0,16.3
Anastasia Zakharova,44.4,27.6
Coco Vandeweghe,69.0,21.6
Paula Ormaechea,20.0,54.5
Selena Janicijevic,0.0,0.0
Erika Andreeva,64.7,15.6
Brenda Fruhvirtova,50.0,0.0
Katrina Scott,0.0,0.0
Joanne Zuger,43.3,30.0
Lina Gjorcheska,0.0,0.0
Caijsa Hennemann,0.0,0.0
Dalila Jakupovic,41.7,33.3
Nefisa Berberovic,65.0,27.3
Barbara Gatica,0.0,0.0
Lulu Sun,55.1,34.0
Mona Barthel,0.0,0.0
Antonia Ruzic,0.0,0.0
Xiaodi You,41.2,17.6
Lena Papadakis,0.0,0.0
Miriam Bulgaru,0.0,0.0
Yvonne Cavalle-Reimers,0.0,0.0
Kristina Dmitruk,0.0,0.0
Francesca Di Lorenzo,35.3,23.5
Katarzyna Kawa,63.5,27.3
Whitney Osuigwe,0.0,0.0
Lea Boskovic,0.0,0.0
Vera Lapko,0.0,0.0
Jamie Loeb,74.1,11.1
Ankita Raina,46.7,28.6
Julia Riera,0.0,0.0
Lizette Cabrera,50.0,29.2
Danielle Lao,0.0,0.0
Arina Rodionova,50.0,11.1
Joanna Garland,0.0,0.0
Matilde Paoletti,63.6,32.4
Lina Glushko,25.0,25.0
Diana Marcinkevica,0.0,0.0
Gabriela Ce,0.0,0.0
Mirra Andreeva,56.3,21.4
Darja Semenistaja,0.0,0.0
Ekaterina Makarova,55.0,26.3
Sada Nahimana,0.0,0.0
Anastasia Zolotareva,0.0,0.0
Marcela Zacarias,67.4,32.7
Karman Thandi,75.0,24.0
Weronika Falkowska,54.5,27.3
Peyton Stearns,61.5,24.0
Magali Kempen,0.0,0.0
Nuria Brancaccio,0.0,0.0
Yuki Naito,66.7,0.0
Camilla Rosatello,0.0,0.0
Nikola Bartunkova,33.3,25.0
Nastasja Schunk,55.8,19.0
Astra Sharma,61.6,24.7
Daniela Vismane,0.0,0.0
Carolina Alves,43.5,23.8
Tena Lukas,0.0,0.0
Kristina Kucova,59.8,35.2
Yuriko Miyazaki,69.2,22.2
Ekaterina Reyngold,28.6,12.5
Yuliya Hatouka,41.7,46.2
Eudice Chong,0.0,0.0
Sophie Chang,63.6,18.2
Audrey Albie,0.0,0.0
Kathinka Von Deichmann,0.0,0.0
Elvina Kalieva,53.3,40.0
Marina Melnikova,28.6,0.0
Elsa Jacquemot,46.2,35.7
Alexandra Eala,12.5,28.6
Tessah Andrianjafitrimo,53.3,46.7
Anastasia Kulikova,0.0,0.0
Justina Mikulskyte,0.0,0.0
Anastasia Gasanova,58.3,35.8
Irina Khromacheva,0.0,0.0
Greet Minnen,60.0,29.4
Arianne Hartono,46.1,33.8
Sofia Kenin,63.5,23.3
Angela Fita Boluda,0.0,0.0
Mai Hontama,48.9,32.6
Rosa Vicens Mas,0.0,0.0
Elina Svitolina,63.7,36.9
Nina Potocnik,0.0,0.0
Raluka Serban,50.0,40.0
Ekaterine Gorgodze,43.4,31.5
Storm Hunter,57.3,15.4
Sofia Samavati,0.0,0.0
Olivia Gadecki,53.3,35.7
Robin Montgomery,64.7,17.6
Noma Noha Akugue,0.0,0.0
Andrea Lazaro Garcia,0.0,0.0
Suzan Lamens,55.6,30.2
Carole Monnet,63.6,18.2
Jana Fett,48.6,12.8
Vera Zvonareva,65.2,27.1
Gabriela Lee,59.1,22.7
Katherine Sebov,57.1,28.1
Stefanie Voegele,40.4,30.9
Himeno Sakatsume,81.8,9.1
Natalija Stevanovic,0.0,0.0
Eva Vedder,0.0,0.0
Kirsten Flipkens,64.6,41.6
Misaki Matsuda,0.0,0.0
Lesley Pattinama Kerkhove,65.9,31.1
Natalia Szabanin,36.4,36.4
Pemra Ozgen,40.0,30.0
Anastasia Tikhonova,53.3,28.6
Susan Bandecchi,82.4,29.4
Irene Burillo Escorihuela,25.0,14.3
Marie Benoit,0.0,0.0
Taylor Ng,0.0,0.0
Ellen Perez,48.4,26.7
Talia Gibson,0.0,0.0
Andrea Gamiz,0.0,0.0
Timea Babos,55.6,20.0
Anastasia Pavlyuchenkova,65.4,43.4
Zeynep Sonmez,0.0,0.0
Destanee Aiava,55.6,11.1
Anna Brogan,0.0,0.0
Renata Zarazua,51.9,21.4
Hong Yi Cody Wong,0.0,0.0
Berfu Cengiz,0.0,0.0
Stacey Fung,0.0,0.0
Jessie Aney,0.0,0.0
Ulrikke Eikeri,53.8,25.0
Ashley Lahey,0.0,0.0
Elena Malygina,0.0,28.6
Jia-Jing Lu,0.0,0.0
Zhuoxuan Bai,0.0,0.0
Lola Radivojevic,0.0,0.0
Anna Siskova,0.0,0.0
Adriana Reami,0.0,0.0
Hina Inoue,0.0,0.0
Grace Min,0.0,0.0
Arlinda Rushiti,0.0,0.0
Chihiro Muramatsu,0.0,0.0
Jana Kolodynska,0.0,0.0
Martina Di Giuseppe,0.0,0.0
Ana Sofia Sánchez,0.0,0.0
Lucie Nguyen Tan,0.0,0.0
Stephanie Wagner,0.0,0.0
Valeriya Strakhova,0.0,0.0
Seone Mendez,43.5,32.0
Ilona-Georgiana Ghioroaie,0.0,0.0
Michaela Bayerlova,0.0,0.0
Ekaterina Yashina,0.0,0.0
Momoko Kobori,0.0,0.0
Marina Stakusic,58.6,37.0
Sapfo Sakellaridi,0.0,0.0
Dea Herdzelas,0.0,0.0
Conny Perrin,0.0,0.0
Katarina Zavatska,69.2,38.5
Eugenie Bouchard,67.8,31.8
Andreea Rosca,0.0,0.0
Sakura Hosogi,0.0,0.0
Ekaterina Kazionova,0.0,0.0
Lucie Havlickova,60.0,36.8
Hanna Chang,0.0,0.0
Maria Timofeeva,0.0,0.0
Hurricane Black,0.0,0.0
Anna Kubareva,0.0,0.0
Guiomar Maristany Zuleta De Reales,0.0,0.0
Chiara Scholl,0.0,0.0
Cristina Dinu,0.0,0.0
Xinyu Gao,0.0,0.0
Lisa Pigato,0.0,0.0
Carlota Martinez Cirez,0.0,0.0
Yanina Wickmayer,62.0,38.8
Eliz Maloney,0.0,0.0
Iryna Shymanovich,14.3,0.0
Sarah Beth Grey,0.0,0.0
Eva Guerrero Alvarez,0.0,0.0
Alexandra Bozovic,0.0,0.0
Rebecca Sramkova,0.0,0.0
Mariia Tkacheva,62.5,0.0
Elena-Teodora Cadar,0.0,0.0
Dominika Salkova,52.9,40.0
Julia Middendorf,0.0,0.0
Luksika Kumkhum,0.0,0.0
Eden Silva,80.0,0.0
Malene Helgø,0.0,0.0
Isabella Kruger,0.0,0.0
En-Shuo Liang,38.5,38.5
Catherine Harrison,43.8,25.8
Isabella Shinikova,42.9,0.0
Angelica Moratelli,0.0,0.0
Barbara Haas,0.0,0.0
Emina Bektas,57.9,10.5
Jesika Maleckova,47.4,26.3
Jenny Duerst,0.0,0.0
Aneta Kucmova,0.0,0.0
Adithya Karunaratne,0.0,0.0
Kateryna Volodko,0.0,0.0
Haruka Kaji,0.0,0.0
Francesca Curmi,0.0,0.0
Natalia Vikhlyantseva,33.3,14.3
Cagla Buyukakcay,0.0,0.0
Mariam Bolkvadze,29.4,25.0
Sabine Lisicki,76.7,18.6
Kyoka Okamura,66.7,10.0
Gergana Topalova,0.0,0.0
Peangtarn Plipuech,0.0,0.0
Francisca Jorge,0.0,0.0
Valeria Savinykh,0.0,0.0
Tatiana Prozorova,0.0,0.0
Naiktha Bains,0.0,0.0
Urszula Radwanska,0.0,0.0
Alice Robbe,0.0,0.0
Veronika Erjavec,0.0,0.0
Maria Herazo Gonzalez,55.6,20.0
Anhzelika Isaeva,0.0,0.0
Ilay Yoruk,0.0,0.0
Lexie Stevens,0.0,0.0
Ya-Hsuan Lee,0.0,0.0
Tereza Smitkova,0.0,0.0
Emily Seibold,0.0,0.0
Sofia Costoulas,0.0,0.0
Jessica Failla,0.0,0.0
Amina Anshba,0.0,0.0
Olivia Tjandramulia,28.6,0.0
Zhibek Kulambayeva,0.0,0.0
Tamira Paszek,0.0,0.0
Cadence Brace,75.0,25.0
Alana Parnaby,0.0,0.0
Deborah Chiesa,0.0,0.0
Victoria Mboko,55.6,11.1
Ye-Xin Ma,0.0,0.0
Sofia Shapatava,0.0,0.0
Kathleen Kanev,0.0,0.0
Giulia Gatto-Monticone,0.0,0.0
Yeonwoo Ku,0.0,0.0
Oana Gavrila,0.0,0.0
Nina Stojanovic,0.0,0.0
Ivana Jorovic,0.0,0.0
Oana Georgeta Simion,0.0,0.0
Amarni Banks,0.0,0.0
Maria Mateas,0.0,0.0
Julie Belgraver,0.0,0.0
Sohyun Park,53.3,35.7
Jacqueline Cabaj Awad,0.0,0.0
Martina Capurro Taborda,0.0,0.0
Evgeniya Rodina,55.3,52.5
Maegan Manasse,0.0,0.0
Madison Sieg,0.0,0.0
Mihaela Buzarnescu,56.0,26.9
Rutuja Bhosale,0.0,0.0
