,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Predicted_Winner,Profit
98,2025-06-02,1.79,Zachary Svajda,1.79,1.93,Zachary Svajda,Zachary Svajda,10,Li Tu,9,0.5,0.6666666666666666,Mens,228.0,168.0,1553.799916448367,1551.273106791231,0.5,1.0,102.0,164.0,True,False,0,0,0,2,0,1,True,-100.0
103,2025-06-03,1.73,Rinky Hijikata,1.73,2.02,Rinky Hijikata,Billy Harris,9,Billy Harris,10,0.4444444444444444,0.5,Mens,78.0,102.0,1658.1745471193312,1437.6907669638936,0.4,0.4,62.0,101.0,True,False,0,0,0,2,0,2,True,-100.0
203,2025-06-15,1.96,Yannick Hanfmann,1.82,1.96,Nicolas Jarry,Nicolas Jarry,8,Yannick Hanfmann,7,0.5,0.2857142857142857,Mens,150.0,135.0,1544.0176226295569,1519.5148210179857,0.6,0.2,16.0,45.0,False,True,1,1,1,1,0,1,True,96.0
228,2025-06-17,2.01,Mackenzie Mcdonald,1.8,2.01,Gael Monfils,Gael Monfils,6,Mackenzie Mcdonald,10,0.6666666666666666,0.5,Mens,42.0,98.0,1631.5623496373964,1580.3015661473362,0.6,0.5,6.0,37.0,False,True,1,1,1,1,0,3,True,100.99999999999997
276,2025-06-20,2.1,Arthur Rinderknech,1.73,2.1,Reilly Opelka,Reilly Opelka,8,Arthur Rinderknech,11,0.625,0.36363636363636365,Mens,75.0,80.0,1683.6908302888448,1536.929902375037,0.6,0.4,17.0,42.0,False,True,1,2,1,3,0,2,True,110.00000000000001
369,2025-06-26,1.79,Jenson Brooksby,1.79,2.02,Jenson Brooksby,Daniel Evans,6,Daniel Evans,11,0.5,0.45454545454545453,Mens,149.0,170.0,1686.8129508817874,1587.147445364911,0.5,0.6,33.0,21.0,True,False,0,0,0,5,0,4,True,-100.0
389,2025-06-27,1.9,Alex Michelsen,1.89,1.9,Roberto Bautista Agut,Roberto Bautista Agut,10,Alex Michelsen,14,0.6,0.5714285714285714,Mens,43.0,33.0,1714.3869877869936,1678.2759492905923,0.7,0.6,9.0,32.0,False,True,1,1,1,1,2,3,True,89.99999999999999
415,2025-06-30,1.87,Cameron Norrie,1.87,1.93,Cameron Norrie,Roberto Bautista Agut,7,Roberto Bautista Agut,13,0.2857142857142857,0.6153846153846154,Mens,61.0,42.0,1675.0305197478747,1444.7461578647033,0.3,0.6,8.0,9.0,True,False,0,1,0,2,0,2,True,-100.0
521,2025-07-04,2.11,Luciano Darderi,1.73,2.11,Arthur Fery,Arthur Fery,8,Luciano Darderi,8,0.625,0.375,Mens,461.0,59.0,1528.416703661807,1433.783356552224,0.5,0.3,230.0,32.0,False,True,1,2,1,2,0,1,True,110.99999999999999
