Name,Service Games Won,Return Games Won
Enzo Couacaud,0.85,0.11
Pablo Cuevas,0.79,0.22
Samuel Vincent Ruggeri,0.0,0.0
Imanol Lopez Morillo,0.0,0.0
Zhizhen Zhang,0.83,0.13
Jozef Kovalik,0.64,0.19
Otto Virtanen,0.0,0.0
Hiroki Moriya,0.7,0.29
Mark Lajal,0.0,0.0
Giles Hussey,0.0,0.0
Alejandro Tabilo,0.72,0.29
Franco Agamenone,0.67,0.34
Facundo Mena,0.8,0.09
Francisco Comesana,0.0,0.0
Kyle Seelig,0.0,0.0
Shinji Hazawa,0.0,0.0
Stefano Travaglia,0.75,0.13
Prajnesh Gunneswaran,0.6,0.2
Keegan Smith,0.0,0.0
Bernard Tomic,0.0,0.0
Gonzalo Villanueva,0.82,0.09
Pedro Boscardin Dias,0.0,0.0
James McCabe,0.0,0.0
Naoki Nakagawa,0.0,0.0
Gian Marco Moroni,0.68,0.17
Kenny De Schepper,0.0,0.0
Ben Patael,0.0,0.0
Rimpei Kawakami,0.0,0.0
Evgeny Karlovskiy,0.0,0.0
Alexander Weis,0.0,0.0
Jakub Mensik,0.0,0.0
Corentin Denolly,0.0,0.0
Alejandro Moro Canas,0.0,0.0
Pablo Llamas Ruiz,0.0,0.0
Jose Pereira,0.0,0.0
Ajeet Rai,0.0,0.0
Joao Lucas Reis Da Silva,0.0,0.0
Giovanni Oradini,0.0,0.0
Mathias Bourgue,0.0,0.0
Shintaro Imai,0.0,0.0
Bjorn Fratangelo,0.62,0.0
Andreas Seppi,0.73,0.18
Jurgen Briand,0.0,0.0
Denis Istomin,0.69,0.18
Thomas Fabbiano,0.6,0.2
Billy Harris,0.0,0.0
Illya Marchenko,0.0,0.0
Leonardo Aboian,0.0,0.0
Ulises Blanch,0.0,0.0
Remy Bertola,0.0,0.0
Gianmarco Ferrari,0.0,0.0
Abdullah Shelbayh,0.0,0.0
Shintaro Mochizuki,0.58,0.18
Henri Squire,0.75,0.0
Gustavo Heide,0.0,0.0
Calvin Hemery,0.0,0.0
Yasutaka Uchiyama,0.78,0.0
Daniel Cukierman,0.0,0.0
Matteo Martineau,0.0,0.0
Felix Gill,0.0,0.0
Clement Tabur,0.0,0.0
Michael Vrbensky,0.0,0.0
Damien Wenger,0.0,0.0
Arthur Fery,0.0,0.0
Oliver Crawford,0.0,0.0
Antoine Hoang,0.0,0.0
Philipp Kohlschreiber,0.69,0.14
David Pichler,0.0,0.0
Gabriel Decamps,0.0,0.0
Mathys Erhard,0.0,0.0
Thiago Seyboth Wild,0.68,0.17
Dino Prizmic,0.17,0.43
Alexey Vatutin,0.56,0.11
Sergey Fomin,0.0,0.0
Carlos Sanchez Jover,0.0,0.0
JiSung Nam,0.91,0.0
Nicolas Alvarez,0.0,0.0
Filip Peliwo,0.0,0.0
Alex Marti Pujolras,0.0,0.0
Colin Sinclair,0.0,0.0
Elmar Ejupovic,0.0,0.0
Moez Echargui,0.0,0.0
Daniel Rincon,0.0,0.0
Yshai Oliel,0.63,0.0
Murkel Dellien,0.0,0.0
Andrew Paulson,0.0,0.0
Sascha Gueymard Wayenburg,0.0,0.0
Elliot Benchetrit,0.67,0.0
Sam Querrey,0.82,0.1
Edoardo Lavagno,0.0,0.0
Matias Franco Descotte,0.0,0.0
Alexis Gautier,0.0,0.0
Arthur Rinderknech,0.84,0.14
Eliakim Coulibaly,0.0,0.0
Georgii Kravchenko,0.0,0.0
Lorenzo Sonego,0.81,0.2
Bogdan Bobrov,0.0,0.0
Tristan Lamasine,0.0,0.0
Adrian Mannarino,0.8,0.2
Gage Brymer,0.0,0.0
Jakub Paul,0.0,0.0
Brandon Nakashima,0.84,0.19
Sumit Nagal,0.0,0.0
Tsung-Hao Huang,0.0,0.0
Jenson Brooksby,0.75,0.26
Nicola Kuhn,0.78,0.06
Nathan Ponwith,0.0,0.0
Andy Murray,0.79,0.24
Timo Legout,0.0,0.0
Luke Saville,0.0,0.0
Alex Molcan,0.77,0.23
Michail Pervolarakis,0.72,0.14
Andres Andrade,0.0,0.0
Corentin Moutet,0.77,0.24
Goncalo Oliveira,0.0,0.0
Jaimee Floyd Angele,0.0,0.0
Gael Monfils,0.84,0.28
Alfredo Perez,0.0,0.0
Rigele Te,0.0,0.0
David Goffin,0.75,0.25
Leo Borg,0.64,0.2
Max Alcala Gurri,0.0,0.0
Filip Krajinovic,0.77,0.22
Inaki Montes-De La Torre,0.0,0.0
Tao Mu,0.0,0.0
Fabio Fognini,0.72,0.24
Nicolas Barrientos,0.53,0.43
Noah Rubin,0.0,0.0
Marc-Andrea Huesler,0.86,0.14
Alejo Lorenzo Lingua Lavallen,0.0,0.0
Sean Cuenin,0.0,0.0
Pedro Cachin,0.78,0.19
Mili Poljicak,0.54,0.21
Amr Elsayed,0.0,0.0
Jaume Munar,0.74,0.26
Christian Langmo,0.0,0.0
Maxime Chazal,0.0,0.0
Aslan Karatsev,0.75,0.22
Eric Vanshelboim,0.0,0.0
Matthew Dellavedova,0.0,0.0
Benjamin Bonzi,0.83,0.2
Ignacio Monzon,0.0,0.0
Duarte Vale,0.0,0.0
Marcos Giron,0.77,0.17
Kris Van Wyk,0.0,0.0
Jose Fco. Vidal Azorin,0.0,0.0
Pedro Martinez,0.74,0.23
Stefan Palosi,0.0,0.0
Kiranpal Pannu,0.0,0.0
Diego Schwartzman,0.7,0.32
Marco Cecchinato,0.7,0.22
Martin Krumich,0.0,0.0
Borna Coric,0.83,0.16
Dominic Thiem,0.78,0.19
Mats Rosenkranz,0.0,0.0
Daniel Evans,0.79,0.24
Radu Albot,0.78,0.21
Andrej Martin,0.7,0.0
Grigor Dimitrov,0.82,0.22
Emilio Gomez,0.6,0.13
Lucas Miedler,0.0,0.0
Miomir Kecmanovic,0.79,0.25
Juan Pablo Varillas,0.76,0.19
Kyrian Jacquet,0.0,0.0
Francisco Cerundolo,0.75,0.28
Denis Kudla,0.75,0.18
Hady Habib,0.0,0.0
Alejandro Davidovich Fokina,0.74,0.26
Jason Kubler,0.82,0.19
Robin Bertrand,0.0,0.0
Tommy Paul,0.8,0.24
Hugo Gaston,0.7,0.22
Nick Chappell,0.8,0.0
Sebastian Korda,0.8,0.26
Jiri Vesely,0.82,0.13
David Poljak,0.0,0.0
Maxime Cressy,0.89,0.13
Steve Johnson,0.84,0.13
Valerio Aboian,0.0,0.0
Botic van de Zandschulp,0.78,0.25
Tim van Rijthoven,0.86,0.15
Marko Topo,0.61,0.0
Yoshihito Nishioka,0.76,0.22
Nuno Borges,0.84,0.13
Sandro Kopp,0.0,0.0
Alexander Bublik,0.81,0.2
Michael Mmoh,0.73,0.26
Ethan Quinn,0.0,0.0
Reilly Opelka,0.91,0.11
Norbert Gombos,0.78,0.12
Martin Damm,0.0,0.0
Albert Ramos Vinolas,0.75,0.23
Chun-Hsin Tseng,0.67,0.15
Dayne Kelly,0.0,0.0
Emil Ruusuvuori,0.78,0.25
Yibing Wu,0.81,0.21
Martin Cuevas,0.0,0.0
John Isner,0.92,0.08
Pavel Kotov,0.66,0.23
Francesco Forti,0.0,0.0
Jack Draper,0.85,0.24
Dominic Stricker,0.86,0.13
Jorge Panta,0.0,0.0
Sebastian Baez,0.74,0.25
Francesco Passaro,0.68,0.12
Mateus Alves,0.0,0.0
Dimitar Kuzmanov,0.73,0.18
Ryan Harrison,0.0,0.0
Kaichi Uchida,0.8,0.09
James Trotter,0.0,0.0
Stefan Kozlov,0.64,0.2
Jonathan Mridha,0.0,0.0
Dominik Koepfer,0.7,0.21
Riccardo Balzerani,0.0,0.0
Francesco Maestrelli,0.67,0.08
Arjun Kadhe,0.75,0.13
Frederico Ferreira Silva,0.0,0.0
Alex Michelsen,0.0,0.0
Nick Hardt,0.0,0.0
Cedrik-Marcel Stebe,0.89,0.11
Laurent Lokoli,0.0,0.0
Antoine Escoffier,0.0,0.0
Luciano Darderi,0.0,0.0
Alexis Galarneau,0.73,0.09
Rio Noguchi,0.74,0.08
Evan Furness,0.71,0.29
Li Tu,0.0,0.0
Matheus Pucinelli De Almeida,0.53,0.29
Gianluca Mager,0.8,0.1
Andrea Vavassori,0.73,0.07
Mitchell Krueger,0.81,0.17
Felix Auger Aliassime,0.86,0.21
Mackenzie Mcdonald,0.77,0.24
Luca Van Assche,0.69,0.25
Steven Diez,0.63,0.0
Evan Zhu,0.0,0.0
Dmitry Popko,0.0,0.0
Tristan Schoolkate,0.0,0.0
Toby Samuel,0.0,0.0
Daniil Medvedev,0.86,0.27
Quentin Halys,0.84,0.15
Vit Kopriva,0.62,0.31
Aziz Dougaz,0.0,0.0
Denis Yevseyev,0.0,0.0
Max Houkes,0.0,0.0
Benjamin Lock,0.0,0.0
Matias Soto,0.0,0.0
Andrey Rublev,0.85,0.24
Constant Lestienne,0.77,0.2
Hugo Grenier,0.77,0.17
Maximilian Neuchrist,0.0,0.0
Pol Martin Tiffon,0.0,0.0
Dragos Nicolae Madaras,0.56,0.0
Andrey Chepelev,0.0,0.0
Yuki Mochizuki,0.0,0.0
Taylor Fritz,0.84,0.24
Jeffrey John Wolf,0.76,0.22
Timofey Skatov,0.71,0.18
Mate Valkusz,0.0,0.0
Salvatore Caruso,0.38,0.17
Valentin Royer,0.0,0.0
Giovanni Mpetshi Perricard,0.0,0.0
Kalin Ivanovski,0.0,0.0
Hubert Hurkacz,0.91,0.18
Daniel Elahi Galan,0.75,0.24
Gilles Simon,0.69,0.23
Juan Ignacio Londero,0.7,0.21
Ugo Blanchet,0.0,0.0
Rudolf Molleker,0.0,0.0
Alex Rybakov,0.0,0.0
Gabriele Piraino,0.0,0.0
Holger Rune,0.83,0.22
Richard Gasquet,0.79,0.23
Borna Gojo,0.82,0.15
Bu Yunchaokete,0.0,0.0
Lukas Neumayer,0.0,0.0
Marc Polmans,0.0,0.0
Aidan  Mchugh,0.0,0.0
Philip Sekulic,0.0,0.0
Alexander Zverev,0.83,0.26
Mikael Ymer,0.74,0.3
Yosuke Watanuki,0.86,0.21
Egor Gerasimov,0.73,0.19
Alexandar Lazarov,0.85,0.15
Yunseong Chung,0.8,0.06
Gerald Melzer,0.67,0.17
Constantin Bittoun Kouzmine,0.0,0.0
Pablo Carreno Busta,0.83,0.24
Laslo Djere,0.81,0.2
Manuel Guinard,0.69,0.26
Timo Stodder,0.0,0.0
Javier Barranco Cosano,0.0,0.0
Alibek Kachmazov,0.0,0.0
Marius Copil,0.87,0.0
Gonzalo Bueno,0.0,0.0
Cameron Norrie,0.81,0.27
Thiago Monteiro,0.83,0.17
John Millman,0.78,0.16
Raphael Collignon,0.0,0.0
Terence Atmane,0.0,0.0
Vitaliy Sachko,0.82,0.09
Stuart Parker,0.0,0.0
Cannon Kingsley,0.0,0.0
Bernabe Zapata Miralles,0.68,0.27
Jannik Sinner,0.83,0.27
Stan Wawrinka,0.81,0.15
Lorenzo Giustino,0.0,0.0
Daniel Dutra da Silva,0.7,0.1
Carlos Lopez Montagud,0.0,0.0
Charles Broom,0.0,0.0
